gender	jobcat	salary
巢己	版康磊	57000
巢己	荤公流	40200
咯己	荤公流	21450
咯己	荤公流	21900
巢己	荤公流	45000
巢己	荤公流	32100
巢己	荤公流	36000
咯己	荤公流	21900
咯己	荤公流	27900
咯己	荤公流	24000
咯己	荤公流	30300
巢己	荤公流	28350
巢己	荤公流	27750
咯己	荤公流	35100
巢己	荤公流	27300
巢己	荤公流	40800
巢己	荤公流	46000
巢己	版康磊	103750
巢己	荤公流	42300
咯己	荤公流	26250
咯己	荤公流	38850
巢己	荤公流	21750
咯己	荤公流	24000
咯己	荤公流	16950
咯己	荤公流	21150
巢己	荤公流	31050
巢己	版康磊	60375
巢己	荤公流	32550
巢己	版康磊	135000
巢己	荤公流	31200
巢己	荤公流	36150
巢己	版康磊	110625
巢己	荤公流	42000
巢己	版康磊	92000
巢己	版康磊	81250
咯己	荤公流	31350
巢己	荤公流	29100
巢己	荤公流	31350
巢己	荤公流	36000
咯己	荤公流	19200
咯己	荤公流	23550
巢己	荤公流	35100
巢己	荤公流	23250
巢己	荤公流	29250
巢己	包府流	30750
咯己	荤公流	22350
咯己	荤公流	30000
巢己	包府流	30750
巢己	荤公流	34800
巢己	版康磊	60000
巢己	荤公流	35550
巢己	荤公流	45150
巢己	版康磊	73750
巢己	荤公流	25050
巢己	荤公流	27000
巢己	荤公流	26850
巢己	荤公流	33900
咯己	荤公流	26400
巢己	荤公流	28050
巢己	荤公流	30900
巢己	荤公流	22500
巢己	版康磊	48000
巢己	版康磊	55000
巢己	版康磊	53125
巢己	荤公流	21900
巢己	版康磊	78125
巢己	版康磊	46000
巢己	版康磊	45250
巢己	版康磊	56550
巢己	荤公流	41100
巢己	版康磊	82500
咯己	荤公流	54000
咯己	荤公流	26400
咯己	荤公流	33900
咯己	荤公流	24150
咯己	荤公流	29250
咯己	荤公流	27600
咯己	荤公流	22950
咯己	荤公流	34800
咯己	荤公流	51000
咯己	荤公流	24300
咯己	荤公流	24750
咯己	荤公流	22950
咯己	荤公流	25050
巢己	荤公流	25950
巢己	荤公流	31650
巢己	荤公流	24150
巢己	版康磊	72500
巢己	版康磊	68750
咯己	荤公流	16200
咯己	荤公流	20100
咯己	荤公流	24000
咯己	荤公流	25950
咯己	荤公流	24600
咯己	荤公流	28500
巢己	包府流	30750
巢己	荤公流	40200
巢己	包府流	30000
咯己	荤公流	22050
巢己	版康磊	78250
巢己	版康磊	60625
巢己	荤公流	39900
巢己	版康磊	97000
巢己	荤公流	27450
巢己	荤公流	31650
巢己	版康磊	91250
咯己	荤公流	25200
咯己	荤公流	21000
巢己	荤公流	30450
巢己	荤公流	28350
巢己	包府流	30750
巢己	包府流	30750
巢己	版康磊	54875
巢己	荤公流	37800
巢己	荤公流	33450
巢己	荤公流	30300
咯己	荤公流	31500
咯己	荤公流	31650
咯己	荤公流	25200
咯己	版康磊	37800
咯己	荤公流	18750
咯己	荤公流	32550
咯己	荤公流	33300
咯己	荤公流	38550
巢己	荤公流	27450
巢己	包府流	24300
巢己	包府流	30750
咯己	荤公流	19650
巢己	版康磊	68750
巢己	版康磊	59375
巢己	荤公流	31500
巢己	荤公流	27300
巢己	荤公流	27000
咯己	版康磊	41550
咯己	荤公流	26250
巢己	荤公流	22200
巢己	版康磊	65000
巢己	荤公流	30900
咯己	荤公流	20100
咯己	荤公流	22350
咯己	荤公流	35550
咯己	荤公流	28500
咯己	荤公流	24450
咯己	荤公流	16650
巢己	荤公流	26700
巢己	荤公流	43950
巢己	荤公流	23700
咯己	荤公流	26550
巢己	荤公流	27600
巢己	荤公流	25800
巢己	版康磊	42300
巢己	包府流	30750
咯己	荤公流	26700
咯己	荤公流	20850
巢己	荤公流	35250
巢己	荤公流	26700
咯己	荤公流	26550
咯己	荤公流	27750
