id,gender,educ,jobcat,salary,salbegin,jobtime,prevexp,minority
1,巢己,15,版康磊,57000,27000,98,144,No
2,巢己,16,荤公流,40200,18750,98,36,No
3,咯己,12,荤公流,21450,12000,98,381,No
4,咯己,8,荤公流,21900,13200,98,190,No
5,巢己,15,荤公流,45000,21000,98,138,No
6,巢己,15,荤公流,32100,13500,98,67,No
7,巢己,15,荤公流,36000,18750,98,114,No
8,咯己,12,荤公流,21900,9750,98,0,No
9,咯己,15,荤公流,27900,12750,98,115,No
10,咯己,12,荤公流,24000,13500,98,244,No
11,咯己,16,荤公流,30300,16500,98,143,No
12,巢己,8,荤公流,28350,12000,98,26,Yes
13,巢己,15,荤公流,27750,14250,98,34,Yes
14,咯己,15,荤公流,35100,16800,98,137,Yes
15,巢己,12,荤公流,27300,13500,97,66,No
16,巢己,12,荤公流,40800,15000,97,24,No
17,巢己,15,荤公流,46000,14250,97,48,No
18,巢己,16,版康磊,103750,27510,97,70,No
19,巢己,12,荤公流,42300,14250,97,103,No
20,咯己,12,荤公流,26250,11550,97,48,No
21,咯己,16,荤公流,38850,15000,97,17,No
22,巢己,12,荤公流,21750,12750,97,315,Yes
23,咯己,15,荤公流,24000,11100,97,75,Yes
24,咯己,12,荤公流,16950,9000,97,124,Yes
25,咯己,15,荤公流,21150,9000,97,171,Yes
26,巢己,15,荤公流,31050,12600,96,14,No
27,巢己,19,版康磊,60375,27480,96,96,No
28,巢己,15,荤公流,32550,14250,96,43,No
29,巢己,19,版康磊,135000,79980,96,199,No
30,巢己,15,荤公流,31200,14250,96,54,No
31,巢己,12,荤公流,36150,14250,96,83,No
32,巢己,19,版康磊,110625,45000,96,120,No
33,巢己,15,荤公流,42000,15000,96,68,No
34,巢己,19,版康磊,92000,39990,96,175,No
35,巢己,17,版康磊,81250,30000,96,18,No
36,咯己,8,荤公流,31350,11250,96,52,No
37,巢己,12,荤公流,29100,13500,96,113,Yes
38,巢己,15,荤公流,31350,15000,96,49,Yes
39,巢己,16,荤公流,36000,15000,96,46,Yes
40,咯己,15,荤公流,19200,9000,96,23,Yes
41,咯己,12,荤公流,23550,11550,96,52,Yes
42,巢己,15,荤公流,35100,16500,95,90,No
43,巢己,12,荤公流,23250,14250,95,46,No
44,巢己,8,荤公流,29250,14250,95,50,No
45,巢己,12,包府流,30750,13500,95,307,No
46,咯己,15,荤公流,22350,12750,95,165,No
47,咯己,12,荤公流,30000,16500,95,228,No
48,巢己,12,包府流,30750,14100,94,240,No
49,巢己,15,荤公流,34800,16500,94,93,No
50,巢己,16,版康磊,60000,23730,94,59,No
51,巢己,12,荤公流,35550,15000,94,48,No
52,巢己,15,荤公流,45150,15000,94,40,No
53,巢己,18,版康磊,73750,26250,94,56,No
54,巢己,12,荤公流,25050,13500,94,444,No
55,巢己,12,荤公流,27000,15000,94,120,No
56,巢己,15,荤公流,26850,13500,94,5,No
57,巢己,15,荤公流,33900,15750,94,78,No
58,咯己,15,荤公流,26400,13500,94,3,No
59,巢己,15,荤公流,28050,14250,94,36,Yes
60,巢己,12,荤公流,30900,15000,94,102,Yes
61,巢己,8,荤公流,22500,9750,94,36,Yes
62,巢己,16,版康磊,48000,21750,93,22,No
63,巢己,17,版康磊,55000,26250,93,32,No
64,巢己,16,版康磊,53125,21000,93,48,No
65,巢己,8,荤公流,21900,14550,93,41,No
66,巢己,19,版康磊,78125,30000,93,7,No
67,巢己,16,版康磊,46000,21240,93,35,No
68,巢己,16,版康磊,45250,21480,93,36,No
69,巢己,16,版康磊,56550,25000,93,34,No
70,巢己,15,荤公流,41100,20250,93,27,No
71,巢己,17,版康磊,82500,34980,93,207,No
72,咯己,16,荤公流,54000,18000,93,11,No
73,咯己,12,荤公流,26400,10500,93,0,No
74,咯己,15,荤公流,33900,19500,93,192,No
75,咯己,15,荤公流,24150,11550,93,0,No
76,咯己,15,荤公流,29250,11550,93,11,No
77,咯己,12,荤公流,27600,11400,93,6,No
78,咯己,12,荤公流,22950,10500,93,10,No
79,咯己,16,荤公流,34800,14550,93,8,No
80,咯己,16,荤公流,51000,18000,93,22,No
81,咯己,12,荤公流,24300,10950,93,5,No
82,咯己,12,荤公流,24750,14250,93,193,Yes
83,咯己,12,荤公流,22950,11250,93,0,Yes
84,咯己,8,荤公流,25050,10950,93,8,Yes
85,巢己,15,荤公流,25950,17100,92,42,No
86,巢己,15,荤公流,31650,15750,92,64,No
87,巢己,12,荤公流,24150,14100,92,130,No
88,巢己,19,版康磊,72500,28740,92,10,No
89,巢己,19,版康磊,68750,27480,92,8,No
90,咯己,8,荤公流,16200,9750,92,0,No
91,咯己,12,荤公流,20100,11250,92,24,No
92,咯己,8,荤公流,24000,10950,92,6,No
93,咯己,12,荤公流,25950,10950,92,0,No
94,咯己,12,荤公流,24600,10050,92,44,No
95,咯己,12,荤公流,28500,10500,92,6,No
96,巢己,8,包府流,30750,15000,92,432,Yes
97,巢己,17,荤公流,40200,19500,92,168,Yes
98,巢己,8,包府流,30000,15000,92,144,Yes
99,咯己,12,荤公流,22050,10950,92,5,Yes
100,巢己,18,版康磊,78250,27480,91,47,No
101,巢己,16,版康磊,60625,22500,91,44,No
102,巢己,14,荤公流,39900,15750,91,59,No
103,巢己,19,版康磊,97000,35010,91,68,No
104,巢己,15,荤公流,27450,15750,91,48,No
105,巢己,15,荤公流,31650,13500,91,18,No
106,巢己,19,版康磊,91250,29490,91,23,No
107,咯己,12,荤公流,25200,14400,91,83,No
108,咯己,12,荤公流,21000,11550,91,108,No
109,巢己,12,荤公流,30450,15000,91,49,Yes
110,巢己,15,荤公流,28350,18000,91,151,Yes
111,巢己,12,包府流,30750,9000,91,314,Yes
112,巢己,12,包府流,30750,15000,91,240,Yes
113,巢己,16,版康磊,54875,27480,90,68,No
114,巢己,14,荤公流,37800,16500,90,60,No
115,巢己,15,荤公流,33450,14100,90,85,No
116,巢己,15,荤公流,30300,16500,90,16,No
117,咯己,12,荤公流,31500,18750,90,205,No
