Y	X1	X2	Group
1033.35	5.5891	434.2	A
-825.25	5.6735	476.4	B
-819.89	9.0242	484.1	B
-863.44	3.8415	498	B
1288.82	4.8526	540.7	A
-811.97	3.6487	464.1	B
-829.35	9.8203	487	B
1342.49	-3.8579	586	A
-783.82	0.5939	451.3	B
1185.93	4.6708	499.8	A
-873.46	0.8212	487.6	B
1219.04	3.1395	523.5	A
-779.53	-1.9532	435.7	B
1163.04	1.3697	511.2	A
-859.42	5.3188	492.5	B
1145.64	-4.8482	497.4	A
1289.74	7.9824	542.1	A
1156.15	3.551	497.1	A
1103.68	-1.9457	473.1	A
1108.95	4.7489	480	A
-1047.13	-4.9259	580.1	B
1141.81	7.4065	484	A
1094.54	2.1451	472.6	A
-876.62	7.5527	512.5	B
-878.89	-2.3379	488.5	B
-948.81	-3.6076	516.6	B
1238.98	4.9209	524.1	A
-848.63	5.8925	485.5	B
1074.44	-2.7114	465.5	A
1215.59	9.9396	506	A
953.59	1.9218	407.2	A
-764.88	5.511	447.7	B
1156.97	4.6924	486.1	A
-918.57	2.7252	526	B
1165.42	0.859	499.9	A
1128.64	5.2213	485	A
1277.52	2.336	543.7	A
-891.49	3.619	506.2	B
-927.98	5.6034	524.1	B
-940.67	0.0102	516.2	B
1157.61	8.5869	484.1	A
1102.04	9.3674	461.9	A
-921.3	5.1325	534.8	B
-1033.4	-3.0274	576.3	B
1082.66	-4.2439	475.3	A
1204.79	1.0052	515.8	A
-957.08	-0.7184	538.5	B
-896.69	-3.0839	498.8	B
1196.14	2.6774	510.4	A
-900.33	-0.0917	502	B
-852.8	-1.3955	491	B
-895.91	1.2381	512.8	B
-852.08	5.7001	486.4	B
-852.8	8.9885	509.2	B
1178.93	-2.5344	513.6	A
-843.5	3.7478	483.2	B
-899.35	0.9472	507.1	B
1130.91	-3.6836	500	A
1161.38	2.7511	490.2	A
1156.77	5.5822	488.1	A
1150.48	7.0479	483.5	A
-763.55	5.3666	443.2	B
1161.26	-0.6201	499.1	A
1237.15	-0.2813	526.4	A
1268.5	9.1449	534.3	A
-923.44	-3.7421	509.5	B
1133.11	1.3314	484.7	A
1130.67	6.7174	482.8	A
-883.55	0.3163	493.9	B
-839.34	4.9741	481.5	B
1198.67	-2.1803	527.1	A
-813.49	5.8475	474.2	B
1142.58	7.2505	479.3	A
1241.49	1.8704	539.9	A
-986.69	-4.9913	538	B
1364.83	6.6625	576.2	A
-891.61	-0.4262	502.2	B
1143.32	3.8409	487.7	A
1056.32	-4.6568	464.2	A
-884.52	5.283	511.3	B
1143.47	6.0043	482	A
1167.57	0.1408	504.7	A
1197.72	7.98	499.2	A
1167.88	-2.2622	505.5	A
-902.95	3.7468	514.7	B
980.68	-0.1828	429.1	A
1167.52	-2.4869	507.1	A
-784.81	2.7135	450.6	B
1058.91	-3.5394	451.8	A
1110.81	-2.8996	484.2	A
1114.27	-0.6943	479.6	A
1185.06	8.5023	491.3	A
-866.56	-2.8332	493	B
1118.8	-1.3274	482.8	A
1140.92	3.0246	485.6	A
-843.3	-2.3435	467.4	B
1188.34	-0.3143	512.6	A
1049.99	7.6538	452	A
-905.24	-2.4153	511.3	B
1296.09	6.8865	546.2	A
1109.13	5.4071	471.9	A
-972.94	8.4374	562.4	B
-915.27	8.946	530.1	B
-890.25	6.106	519.9	B
-860.29	3.9357	490.3	B
1143.31	-3.5006	501.4	A
-932.02	8.7969	548.6	B
1002.23	3.0826	429.2	A
1251.38	8.5018	531	A
1074.82	-4.3922	466.9	A
1146.01	7.1736	482.9	A
-882.64	3.6235	502.6	B
-903.93	1.3201	516.9	B
-873.49	4.6972	510.3	B
1323.32	3.2042	569	A
-788.69	4.0224	457.5	B
-849.04	7.1285	504.2	B
-831.79	0.8833	467.3	B
-928.17	-3.0287	507.6	B
1101.71	7.0363	469	A
1156.22	0.4124	495.7	A
1236.79	8.1311	517.9	A
1176.25	7.0589	496.1	A
1236.46	-3.139	543.8	A
1053.66	-3.0418	459.9	A
-890.73	3.5326	512.1	B
1113.75	-2.4306	487.7	A
-838.24	-3.6463	461	B
-835.7	8.8371	489.5	B
1258.01	6.2465	533.3	A
-884.91	9.4227	519.1	B
-951.43	-0.5104	538.1	B
-879.22	2.3979	505.5	B
-919.32	1.2254	526.2	B
-813.72	3.6371	453.6	B
1148.26	8.1498	479	A
-895.14	-3.3112	494.1	B
-809.65	8.3734	472.2	B
-878.6	0.6672	489.7	B
-826.96	5.7858	476.7	B
1199.2	5.6232	506.5	A
1094.31	5.9607	464.1	A
-855.2	-2.831	473.1	B
1205.43	5.9464	510.3	A
-885.02	-1.1643	491.4	B
-955.48	6.3128	552.3	B
-843.52	9.2816	493.6	B
1066.73	0.0023	462.2	A
1260.13	2.8248	526.1	A
-872.96	4.9224	497	B
-855.02	0.5982	484.5	B
1113.63	7.1004	467.8	A
1178.67	-4.8207	517.5	A
1184.19	9.9624	490.7	A
1149.26	9.8824	474.5	A
-923.29	-2.1606	514.7	B
1149.75	1.0691	497.8	A
1187.77	2.195	506.6	A
1335.36	4.1589	565.7	A
1194.73	7.094	505.1	A
995.26	-1.6022	427.1	A
-893.55	7.698	522.1	B
1160.54	8.8659	491.2	A
1141.14	-3.3091	496.6	A
1270.02	7.7498	530.8	A
-920.84	4.3868	524.8	B
-947	7.4677	541.7	B
-830.99	7.0168	477.6	B
-839.35	2.5007	470.9	B
-882.98	0.223	499.4	B
-947.95	2.0747	536.1	B
-895.21	9.3197	524.3	B
1126.97	-1.8787	488.5	A
-769.95	2.4285	447.7	B
-827.43	6.6509	488.2	B
-876.46	-3.0473	489.1	B
-879	4.1236	509.7	B
-910.62	-1.366	504	B
-885.45	5.0793	513	B
-873.16	1.0831	490.3	B
1197.29	1.3101	517.3	A
1158.22	9.427	486.9	A
-822.27	8.5202	474.8	B
1292.77	1.8512	552.5	A
-892.17	-4.193	494.6	B
1142.75	0.3633	494.3	A
-869.85	-1.4098	484	B
1168.73	2.6586	506.3	A
-786.65	6.7629	457	B
-907.79	5.3956	529.7	B
1142.51	0.5144	497.2	A
1233.08	6.6097	521.4	A
-887.87	-3.3549	498.4	B
-903.44	5.6002	516.2	B
1173.98	3.4166	500.5	A
-822.47	7.1742	479	B
1194.14	1.2009	509.9	A
-699.61	9.479	413.4	B
-712.52	9.4056	431	B
1207.97	-3.6781	527.3	A
-840.74	-2.1109	478.6	B
1314.59	2.0862	562.8	A
-831.19	6.2515	476.4	B
-879.48	8.2066	513.4	B
1147.7	-0.444	496.9	A
-851.4	5.9732	496.1	B
-769.97	0.3609	444.6	B
1064.62	0.682	460.7	A
-745.61	1.5965	425.6	B
-908.97	1.9196	514.5	B
1230.3	8.5167	511.4	A
-944.58	-3.049	523.7	B
-915.52	-4.387	493.8	B
1256.48	6.9691	532	A
1257.97	8.3485	528.1	A
1210.57	6.8552	514.5	A
-885.33	-0.4948	504.6	B
1199.9	-0.8045	515.6	A
-855.42	9.8564	507	B
-912.13	-2.6425	504.1	B
-832.49	9.6437	491.2	B
1217.62	7.1329	507.6	A
-846.24	9.2357	493.1	B
-904.55	6.243	522.1	B
-981.95	-1.1142	553.3	B
1235.41	9.2395	513.5	A
1095.4	-4.0549	475.5	A
-897.36	6.7201	523.3	B
1062.65	6.6351	446.2	A
-850.77	5.7019	490.8	B
1204.97	2.7607	520.3	A
1176.06	9.8919	489	A
-1004.96	0.301	560.8	B
-833.77	1.7806	489.3	B
-888.22	6.8369	513.1	B
-881.03	1.088	499.6	B
-897.45	-0.9112	499.7	B
-828.93	1.8758	476.8	B
-932.24	8.5636	537.2	B
1289.45	-4.0359	559.4	A
-852.78	-0.2954	474.6	B
-930.85	1.4041	525.8	B
1110.96	9.8424	467.2	A
1218.49	5.0898	512.1	A
-918.67	5.8809	527.4	B
-955.9	-4.6259	528.8	B
1229.3	0.8748	526.4	A
-878.4	6.2781	498	B
1121.55	4.7605	477.4	A
-882.39	2.4883	497.1	B
-841.74	2.8805	473.9	B
1186.42	1.4683	505.6	A
