gender	jobcat	salary
남성	경영자	57000 
남성	사무직	40200
여성	사무직	21450
여성	사무직	21900 
남성	사무직	45000
남성	사무직	32100
남성	사무직	36000
여성	사무직	21900
여성	사무직	27900
여성	사무직	24000
여성	사무직	30300
남성	사무직	28350
남성	사무직	27750
여성	사무직	35100
남성	사무직	27300
남성	사무직	40800
남성	사무직	46000
남성	경영자	103750
남성	사무직	42300
여성	사무직	26250
여성	사무직	38850
남성	사무직	21750
여성	사무직	24000
여성	사무직	16950
여성	사무직	21150
남성	사무직	31050
남성	경영자	60375
남성	사무직	32550
남성	경영자	135000
남성	사무직	31200
남성	사무직	36150
남성	경영자	110625
남성	사무직	42000
남성	경영자	92000
남성	경영자	81250
여성	사무직	31350
남성	사무직	29100
남성	사무직	31350
남성	사무직	36000
여성	사무직	19200
여성	사무직	23550
남성	사무직	35100
남성	사무직	23250
남성	사무직	29250
남성	관리직	30750
여성	사무직	22350
여성	사무직	30000
남성	관리직	30750
남성	사무직	34800
남성	경영자	60000
남성	사무직	35550
남성	사무직	45150
남성	경영자	73750
남성	사무직	25050
남성	사무직	27000
남성	사무직	26850
남성	사무직	33900
여성	사무직	26400
남성	사무직	28050
남성	사무직	30900
남성	사무직	22500
남성	경영자	48000
남성	경영자	55000
남성	경영자	53125
남성	사무직	21900
남성	경영자	78125
남성	경영자	46000
남성	경영자	45250
남성	경영자	56550
남성	사무직	41100
남성	경영자	82500
여성	사무직	54000
여성	사무직	26400
여성	사무직	33900
여성	사무직	24150
여성	사무직	29250
여성	사무직	27600
여성	사무직	22950
여성	사무직	34800
여성	사무직	51000
여성	사무직	24300
여성	사무직	24750
여성	사무직	22950
여성	사무직	25050
남성	사무직	25950
남성	사무직	31650
남성	사무직	24150
남성	경영자	72500
남성	경영자	68750
여성	사무직	16200
여성	사무직	20100
여성	사무직	24000
여성	사무직	25950
여성	사무직	24600
여성	사무직	28500
남성	관리직	30750
남성	사무직	40200
남성	관리직	30000
여성	사무직	22050
남성	경영자	78250
남성	경영자	60625
남성	사무직	39900
남성	경영자	97000
남성	사무직	27450
남성	사무직	31650
남성	경영자	91250
여성	사무직	25200
여성	사무직	21000
남성	사무직	30450
남성	사무직	28350
남성	관리직	30750
